epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2683.68,1.90585,2.90534,1.81252,0.42159,0.3772,0.34052,0.12601,1.99495,2.64471,1.92952,0.00333184,0.00333184,0.00333184
2,5468.34,1.88572,2.21343,1.75547,0.42366,0.44826,0.36143,0.12809,2.03573,2.33546,1.9472,0.00633525,0.00633525,0.00633525
3,2481.98,1.92397,2.17485,1.82397,0.35449,0.32543,0.28348,0.09393,2.20531,2.47063,2.03743,0.00900866,0.00900866,0.00900866
4,2419.54,1.90251,2.11501,1.81219,0.37348,0.37117,0.3047,0.10576,2.11835,2.371,1.9714,0.008515,0.008515,0.008515
5,5511.03,1.87292,2.0678,1.79118,0.45794,0.46711,0.41254,0.14711,2.01173,2.15428,1.9111,0.00802,0.00802,0.00802
6,2406.72,1.82224,1.99225,1.75136,0.42244,0.43552,0.38724,0.14571,2.0131,2.14279,1.94255,0.007525,0.007525,0.007525
7,5142,1.80392,1.96571,1.73281,0.47573,0.48872,0.44508,0.16782,1.98219,2.06187,1.88643,0.00703,0.00703,0.00703
8,7982.79,1.80459,1.95278,1.72669,0.4536,0.47121,0.41872,0.16312,1.95394,2.10536,1.89515,0.006535,0.006535,0.006535
9,11000.1,1.78718,1.94024,1.71417,0.45435,0.4786,0.42858,0.16645,1.93479,2.06305,1.87315,0.00604,0.00604,0.00604
10,14414.4,1.77038,1.91216,1.70312,0.43439,0.48833,0.42375,0.16929,1.91769,2.03071,1.86207,0.005545,0.005545,0.005545
11,2458.85,1.83483,1.85683,1.7982,0.41522,0.497,0.41743,0.16638,1.90803,2.0307,1.87205,0.00505,0.00505,0.00505
12,5465.72,1.80497,1.83022,1.79954,0.45601,0.49414,0.44686,0.17808,1.92601,2.01251,1.88569,0.004555,0.004555,0.004555
13,8333.26,1.78197,1.79629,1.78018,0.43974,0.49677,0.44283,0.17892,1.92319,2.0094,1.88708,0.00406,0.00406,0.00406
14,11338.7,1.76237,1.75104,1.75132,0.43162,0.50752,0.44168,0.17672,1.93586,1.99478,1.88488,0.003565,0.003565,0.003565
15,14375.9,1.73819,1.71607,1.73029,0.43946,0.52464,0.44528,0.17753,1.9448,1.9923,1.88801,0.00307,0.00307,0.00307
